iter	Passed	Remaining
0	3	340
1	6	322
2	12	399
3	15	371
4	19	363
5	22	353
6	27	364
7	33	379
8	36	369
9	39	359
10	45	370
11	50	368
12	53	360
13	57	352
14	63	359
15	66	348
16	69	341
17	74	339
18	77	328
19	80	321
20	84	319
21	90	321
22	94	315
23	97	308
24	101	303
25	106	303
26	109	296
27	112	290
28	116	285
29	121	284
30	125	278
31	128	272
32	133	270
33	138	268
34	141	263
35	145	258
36	150	255
37	153	250
38	155	243
39	157	236
40	160	230
41	162	224
42	164	217
43	166	211
44	168	205
45	170	200
46	172	194
47	175	190
48	178	185
49	180	180
50	182	175
51	184	170
52	186	165
53	188	160
54	191	156
55	192	151
56	194	146
57	197	142
58	199	138
59	200	133
60	202	129
61	204	125
62	208	122
63	210	118
64	212	114
65	214	110
66	216	106
67	219	103
68	223	100
69	226	97
70	228	93
71	231	89
72	233	86
73	236	82
74	240	80
75	242	76
76	244	73
77	246	69
78	249	66
79	253	63
80	255	59
81	257	56
82	260	53
83	262	49
84	264	46
85	269	43
86	271	40
87	273	37
88	276	34
89	278	30
90	282	27
91	284	24
92	287	21
93	289	18
94	291	15
95	294	12
96	298	9
97	300	6
98	303	3
99	305	0
